iteration,distance,ee_x,ee_y,ee_z,target_x,target_y,target_z,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9
10,0.7124697955997293,0.2751346219019004,5.479770655092524e-16,0.8660538228386248,0.5,0.0,0.19,2.2623103405416558e-15,0.30000000000000004,2.7990430061464145e-16,-0.0698,-1.476706065922691e-15,-0.0175,-6.701061209283687e-19,0.0,0.0,0.5
11,0.6995133272711237,0.29100003665845664,-2.3493341881139446e-16,0.8575611660014022,0.5,0.0,0.19,1.279937900488037e-16,0.33000000000000007,-6.556738036154982e-16,-0.0698,-1.9060223368057493e-15,-0.0175,3.923295476163107e-19,0.0,0.0,0.5
12,0.6864047267401475,0.3066035710239334,-7.48111619917148e-16,0.8485964395215949,0.5,0.0,0.19,-1.387504148649414e-15,0.3600000000000001,-9.818414634196834e-16,-0.0698,-2.1079889953082947e-15,-0.0175,3.9232954761616946e-19,0.0,0.0,0.5
13,0.6731472503851398,0.3219311828706088,-8.728230451514556e-16,0.8391677110479338,0.5,0.0,0.19,-2.0890973630170116e-15,0.3900000000000001,-9.874864829442342e-16,-0.0698,-2.0925618505556333e-15,-0.0175,-7.61248609853898e-18,0.0,0.0,0.5
14,0.6597442163810632,0.3369690783824034,-1.1757250553736773e-15,0.829283465799625,0.5,0.0,0.19,-2.3763974175420658e-15,0.42000000000000015,-8.764933291698582e-16,-0.0698,-1.6262177657500488e-15,-0.0175,-7.612486098541382e-18,0.0,0.0,0.5
15,0.6461990073016465,0.3517037244683846,-8.412413220993459e-16,0.8189525989302252,0.5,0.0,0.19,-1.949094462069319e-15,0.4500000000000002,-5.594943462900989e-16,-0.0698,-1.4333798793601203e-15,-0.0175,-6.382032498229578e-18,0.0,0.0,0.5
16,0.6325150731973155,0.3661218609416332,-6.898950668455627e-16,0.8081844075226049,0.5,0.0,0.19,-1.6964112924587099e-15,0.4800000000000002,-2.5955266403356824e-16,-0.0698,-1.2340433433917035e-15,-0.0175,2.1030076272885208e-18,0.0,0.0,0.5
17,0.6186959352339436,0.3802105124525187,-6.372348168387793e-16,0.7969885822221996,0.5,0.0,0.19,-1.4164915329451301e-15,0.5100000000000002,-8.71064605746753e-17,-0.0698,-1.3217567917478343e-15,-0.0175,2.103007627287444e-18,0.0,0.0,0.5
18,0.6047451899948748,0.3939570001656367,-5.667562031541181e-16,0.785375198516084,0.5,0.0,0.19,-1.2258265936359761e-15,0.5400000000000003,8.845408906515865e-17,-0.0698,-1.0465493427777157e-15,-0.0175,-6.54347922277723e-18,0.0,0.0,0.5
19,0.5906665145701617,0.40734895316990516,-4.596702020534179e-16,0.7733547076657139,0.5,0.0,0.19,-9.603940273356616e-16,0.5700000000000003,2.18099271553804e-16,-0.0698,-7.56618288593387e-16,-0.0175,-8.035787894938221e-19,0.0,0.0,0.5
20,0.5764636725836685,0.42037431961155014,-3.8266852841977344e-16,0.7609379273014952,0.5,0.0,0.19,-6.75795080500887e-16,0.6000000000000003,2.877085841273144e-16,-0.0698,-5.581176096004992e-16,-0.0175,-6.212227616104986e-18,0.0,0.0,0.5
21,0.5621405213420226,0.4330213775399603,-9.325310803315678e-17,0.7481360316876491,0.5,0.0,0.19,-4.763617036136726e-16,0.6300000000000003,3.367984518573073e-16,-0.0698,-3.674353010083778e-16,-0.0175,-6.212227616106049e-18,0.0,0.0,0.5
22,0.5477010203311979,0.4452787454566507,-2.693648822133323e-16,0.7349605416661258,0.5,0.0,0.19,-5.275196766942167e-16,0.6600000000000004,3.250720087993611e-16,-0.0698,-2.6628438613926913e-16,-0.0175,-6.2122276161062186e-18,0.0,0.0,0.5
23,0.5331492413393054,0.4571353925578433,-3.708873039208808e-17,0.7214233142886252,0.5,0.0,0.19,-3.5102513093708757e-16,0.6900000000000004,3.061005280092729e-16,-0.0698,-1.9810135026550214e-16,-0.0175,2.7128709280085183e-18,0.0,0.0,0.5
